eeg_idx,fmri_idx,hemi,eeg_name,fmri_name
1,17,1,G_Ins_lg_and_S_cent_ins L,L G_Ins_lg_and_S_cent_ins
2,92,2,G_Ins_lg_and_S_cent_ins R,R G_Ins_lg_and_S_cent_ins
3,6,1,G_and_S_cingul-Ant L,L G_and_S_cingul-Ant
4,81,2,G_and_S_cingul-Ant R,R G_and_S_cingul-Ant
5,7,1,G_and_S_cingul-Mid-Ant L,L G_and_S_cingul-Mid-Ant
6,82,2,G_and_S_cingul-Mid-Ant R,R G_and_S_cingul-Mid-Ant
7,8,1,G_and_S_cingul-Mid-Post L,L G_and_S_cingul-Mid-Post
8,83,2,G_and_S_cingul-Mid-Post R,R G_and_S_cingul-Mid-Post
9,1,1,G_and_S_frontomargin L,L G_and_S_frontomargin
10,76,2,G_and_S_frontomargin R,R G_and_S_frontomargin
11,2,1,G_and_S_occipital_inf L,L G_and_S_occipital_inf
12,77,2,G_and_S_occipital_inf R,R G_and_S_occipital_inf
13,3,1,G_and_S_paracentral L,L G_and_S_paracentral
14,78,2,G_and_S_paracentral R,R G_and_S_paracentral
15,4,1,G_and_S_subcentral L,L G_and_S_subcentral
16,79,2,G_and_S_subcentral R,R G_and_S_subcentral
17,5,1,G_and_S_transv_frontopol L,L G_and_S_transv_frontopol
18,80,2,G_and_S_transv_frontopol R,R G_and_S_transv_frontopol
19,9,1,G_cingul-Post-dorsal L,L G_cingul-Post-dorsal
20,84,2,G_cingul-Post-dorsal R,R G_cingul-Post-dorsal
21,10,1,G_cingul-Post-ventral L,L G_cingul-Post-ventral
22,85,2,G_cingul-Post-ventral R,R G_cingul-Post-ventral
23,11,1,G_cuneus L,L G_cuneus
24,86,2,G_cuneus R,R G_cuneus
25,12,1,G_front_inf-Opercular L,L G_front_inf-Opercular
26,87,2,G_front_inf-Opercular R,R G_front_inf-Opercular
27,13,1,G_front_inf-Orbital L,L G_front_inf-Orbital
28,88,2,G_front_inf-Orbital R,R G_front_inf-Orbital
29,14,1,G_front_inf-Triangul L,L G_front_inf-Triangul
30,89,2,G_front_inf-Triangul R,R G_front_inf-Triangul
31,15,1,G_front_middle L,L G_front_middle
32,90,2,G_front_middle R,R G_front_middle
33,16,1,G_front_sup L,L G_front_sup
34,91,2,G_front_sup R,R G_front_sup
35,18,1,G_insular_short L,L G_insular_short
36,93,2,G_insular_short R,R G_insular_short
37,21,1,G_oc-temp_lat-fusifor L,L G_oc-temp_lat-fusifor
38,96,2,G_oc-temp_lat-fusifor R,R G_oc-temp_lat-fusifor
39,22,1,G_oc-temp_med-Lingual L,L G_oc-temp_med-Lingual
40,97,2,G_oc-temp_med-Lingual R,R G_oc-temp_med-Lingual
41,23,1,G_oc-temp_med-Parahip L,L G_oc-temp_med-Parahip
